artista,track,playcount,listeners
Mägo de Oz,Gaia,141848,25249
Mägo de Oz,Hasta Que El Cuerpo Aguante,157323,24902
Mägo de Oz,El Que Quiera Entender Que Entienda,153491,24360
Mägo de Oz,El Santo Grial,140522,23137
Mägo de Oz,Astaroth,132197,21334
Mägo de Oz,Desde mi Cielo,135727,20909
Mägo de Oz,La Cruz de Santiago,123537,20882
Mägo de Oz,El Libro de las Sombras,161376,20227
Mägo de Oz,El Lago,124183,19604
Mägo de Oz,Pensando En Ti,105732,18935
Mägo de Oz,Maite Zaitut,87900,18679
Mägo de Oz,El Cantar de la Luna Oscura,99195,18073
Mägo de Oz,Finisterra,95515,17534
Mägo de Oz,Si Te Vas,86388,17412
Mägo de Oz,La Leyenda De La Llorona,67316,17014
Mägo de Oz,Tres Tristes Tigres,71753,15387
Mägo de Oz,La Leyenda De La Mancha,68281,15279
Mägo de Oz,Alma,80733,14865
Mägo de Oz,Polla Dura No Cree en Dios,67827,14812
Mägo de Oz,La Conquista,67723,14563
Mägo de Oz,La Venganza De Gaia,72324,14269
Mägo de Oz,Los Renglones Torcidos de Dios,83478,14087
Mägo de Oz,El Pacto,71295,13925
Mägo de Oz,Hasta Que Tu Muerte Nos Separe,73342,13385
Mägo de Oz,Van A Rodar Cabezas,71893,13194
Mägo de Oz,La Voz Dormida,90945,13115
Mägo de Oz,Diabulus in Musica,88198,13060
Mägo de Oz,Maritornes,68033,12885
Mägo de Oz,Hazme un sitio entre tu piel,78975,12726
Mägo de Oz,Ancha Es Castilla,55061,12676
Mägo de Oz,La Cantata del Diablo (Missit me Dominus),95620,12395
Mägo de Oz,El atrapasueños,54886,12289
Mägo de Oz,Obertura MDXX,43828,12067
Mägo de Oz,A Costa da Morte,45898,12036
Mägo de Oz,Noche Toledana,52546,11929
Mägo de Oz,El Atrapasuenos,70403,11778
Mägo de Oz,El Paseo de los Tristes,67863,11750
Mägo de Oz,El poema de la lluvia triste,68774,11558
Mägo de Oz,Aquelarre,72345,11462
Mägo de Oz,Es Hora de Marchar,46668,11260
Mägo de Oz,Melodian,72759,10723
Mr. Kilombo,Sinmigo,91278,11404
Mr. Kilombo,Cabecita Loca,21626,4035
Mr. Kilombo,Tiempo Al Tiempo,18587,3466
Mr. Kilombo,En Plena Calle,13603,3059
Mr. Kilombo,Qué Bien Se Te Ve,4686,1239
Mr. Kilombo,Invencibles,4034,1089
Mr. Kilombo,Cortocircuitos,4963,1019
Mr. Kilombo,Al Norte,4069,976
Mr. Kilombo,Todo Cambia,3649,885
Mr. Kilombo,"Se Viene, Se Va",3351,875
Mr. Kilombo,Contra Todo Pronostico,3646,791
Mr. Kilombo,Por Su Camino,2844,754
Mr. Kilombo,Reconciliarme Con el Amor,2973,746
Mr. Kilombo,Por Reyes,2704,669
Mr. Kilombo,Ambivalencia,1946,648
Mr. Kilombo,Quédate A Mi Lado,1680,562
Mr. Kilombo,Rey y Mendigo,1934,487
Mr. Kilombo,Na de mi,1711,485
Mr. Kilombo,Manglares,1572,444
Mr. Kilombo,En Peligro de Extinción,1150,440
Mr. Kilombo,Una Canción Nada Más,1565,399
Mr. Kilombo,Como si no pasara nada,1397,381
Mr. Kilombo,Pandora,1052,375
Mr. Kilombo,Palabrería,1111,341
Mr. Kilombo,Preguntas,860,306
Mr. Kilombo,Trampas,943,299
Mr. Kilombo,Mírame,1096,290
Mr. Kilombo,Trastos,692,279
Mr. Kilombo,Que No Se Acabe La Noche,696,277
Mr. Kilombo,Tarde Otra Vez,752,260
Mr. Kilombo,Andaré,1191,246
Mr. Kilombo,Bendita Humanidad,877,237
Mr. Kilombo,Baile de Disfraces,866,233
Mr. Kilombo,A veces ocurre,682,229
Mr. Kilombo,Nosequé,699,228
Mr. Kilombo,Nada Que Decir,533,224
Mr. Kilombo,Unas Horas,804,220
Mr. Kilombo,Del aire,690,214
Mr. Kilombo,Sin Mirarme los Pies,981,201
Mr. Kilombo,El Resto Puede Esperar,707,199
Mr. Kilombo,Todo Este Caos,629,197
Mr. Kilombo,Enemigos,503,178
Mr. Kilombo,Tal Como Vino,522,169
Mr. Kilombo,De Vuelta,404,168
Mr. Kilombo,Será Mejor,476,160
Mr. Kilombo,Arde Troya,444,157
Mr. Kilombo,La Cuenta Nueva,349,153
Mr. Kilombo,Bucle,531,146
Mr. Kilombo,Casa de herrero,442,141
Mr. Kilombo,Pasa Sin Llamar,328,141
Rozalén,Comiendote A Besos,84978,13680
Rozalén,La Puerta Violeta,72498,12514
Rozalén,Vivir (with Estopa),58070,10906
Rozalén,Girasoles,49531,7667
Rozalén,80 veces,38062,6758
Rozalén,Antes De Verte (with Kevin Johansen),15543,3955
Rozalén,"Que No, Que No",18587,3827
Rozalén,Saltan chispas,18094,3762
Rozalén,Antes De Verte,12113,3701
Rozalén,Berlin,16393,3526
Rozalén,Vuelves,19924,3349
Rozalén,Las Hadas existen,17952,3153
Rozalén,Será Mejor,15891,2851
Rozalén,Este Tren,15524,2837
Rozalén,Te Quiero Porque Te Quiero (Fandangos),10454,2482
Rozalén,Para los dos,12151,2410
Rozalén,Amor del Bo,7566,2370
Rozalén,Y Busqué,12516,2360
Rozalén,Aves Enjauladas,10439,2313
Rozalén,Vivir,10409,2146
Rozalén,La Niña de Fuego - Interludio,16851,2118
Rozalén,Susurros de papel,9831,2114
Rozalén,Justo,11642,2029
Rozalén,Ahora,9317,1872
Rozalén,Dragón Rojo,10098,1829
Rozalén,La Belleza,6305,1670
Rozalén,Al Cantar (feat. Amaia Romero),6347,1663
Rozalén,Bajar del mundo,7347,1559
Rozalén,Alivio,7406,1536
Rozalén,Tiempo de Paz,2424,1515
Rozalén,Cal y arena,5845,1433
Rozalén,Agarrarte a la Vida,5790,1410
Rozalén,El Hijo De La Abuela,6973,1372
Rozalén,Amor Prohibido,7073,1370
Rozalén,A Virxe Do Portovello,5048,1338
Rozalén,A Quién Le Importa,6325,1324
Rozalén,Tres Días en Cartagena,5526,1315
Rozalén,Llévame,5611,1275
Rozalén,Lo Tengo Claro,6385,1225
Rozalén,La Que Baila Para Ti,4996,1180
Rozalén,Me Arrepiento (feat. Las Migas & El Kanka) - En Directo,4112,1155
Rozalén,LEVANTATE,4327,1142
Rozalén,Inevitable,5648,1129
Rozalén,Tu Nombre,5551,1121
Rozalén,Mis Infiernos,4043,1054
Rozalén,Todo lo Que Amaste (feat. Fernando Velázquez),3807,1031
Rozalén,Al Cantar (feat. Amaia Romero Arbizu),4026,1027
Rozalén,Volver A Los Diecisiete,4064,1021
Rozalén,Asuntos Pendientes - En Directo,2620,988
Rozalén,Somos,4188,945
Taburete,Sirenas,181034,24253
Taburete,Amos del Piano Bar,41770,6573
Taburete,Madame Ayahuasca,35197,4828
Taburete,Belerofón,24153,4152
Taburete,Walter Palmeras,22637,3849
Taburete,Roto y Elegante,24452,3830
Taburete,Caminito A Motel,21643,3666
Taburete,Vino Y Cemento,17375,3101
Taburete,Belerofon,15010,2594
Taburete,Ella,13057,2418
Taburete,El Rey del Contrabando,12920,2326
Taburete,Mariposas,13951,2200
Taburete,Entre Tus Piernas,11660,2179
Taburete,El Fin,12121,2084
Taburete,Kaiserlautern,10912,1916
Taburete,Abierto en vena,11157,1745
Taburete,Dos Tequilas,7674,1684
Taburete,Calçots & Mangos (feat. Jósean Log),7831,1680
Taburete,Por Lo Que Pueda Pasar,7158,1481
Taburete,Penúltimo beso (feat. Miguel Campello),7123,1472
Taburete,Tan desconectados,6950,1430
Taburete,Salto al Vacío (feat. Café Quijano),6405,1396
Taburete,Mexico D.F.,6670,1373
Taburete,Hijos del Soul,6924,1355
Taburete,110,5654,1334
Taburete,Cuando Los Hombres Lloran,5550,1326
Taburete,Cuando Se Apaga la Luz,6484,1214
Taburete,Primer Intento,5432,1181
Taburete,Dr. Charas,5354,1149
Taburete,Las últimas flores,5652,1140
Taburete,Blue Rihanna,4710,1102
Taburete,El Viaje,5353,1070
Taburete,El Pato,4847,1065
Taburete,Torrente Presidente,5247,978
Taburete,Brindo,7186,976
Taburete,Luna (Voy a por Ti),3971,976
Taburete,Me quedo conmigo,4441,935
Taburete,2018: Odisea en el Espacio,5589,900
Taburete,La Discoteca,5063,893
Taburete,Mamá,3825,878
Taburete,Johnny Pistolas,3337,785
Taburete,Al Alba,3052,774
Taburete,El Último Baile de Dunas Mitchell,4646,765
Taburete,Las Palabras,3472,751
Taburete,Desde Rusia Con Amor,2945,741
Taburete,Me Voy,3495,702
Taburete,De menos,2214,662
Taburete,Carnaval,3439,659
Taburete,Oaxaca,3348,657
Taburete,Grillos,3418,656
Extremoduro,So payaso,502859,61624
Extremoduro,La Vereda de la Puerta de Atrás,554523,51405
Extremoduro,Salir,331402,45160
Extremoduro,Puta,356492,43015
Extremoduro,Si te vas...,390800,41825
Extremoduro,Golfa,284244,37383
Extremoduro,Stand by,326054,35605
Extremoduro,A Fuego,250462,33516
Extremoduro,sucede,207182,32547
Extremoduro,Buscando una Luna,185687,29081
Extremoduro,Cuarto Movimiento: La Realidad,256348,28214
Extremoduro,Segundo Movimiento: Lo de Fuera,274615,27092
Extremoduro,Primer movimiento: el sueño,239147,27036
Extremoduro,Dulce introducción al caos,254014,26469
Extremoduro,La vereda de la puerta de atras,155320,24930
Extremoduro,Jesucristo García,207669,24394
Extremoduro,Tercer Movimiento: Lo de Dentro,218934,24160
Extremoduro,Dulce introduccion al caos,189821,23568
Extremoduro,Hoy te la meto hasta las orejas,160375,23246
Extremoduro,Prometeo,119962,22215
Extremoduro,Standby,169357,19006
Extremoduro,Menamoro,98133,18692
Extremoduro,Cerca del Suelo,112751,18620
Extremoduro,Locura transitoria,136681,17782
Extremoduro,Coda Flamenca (Otra Realidad),136619,16897
Extremoduro,Buitre No Come Alpiste,97642,16821
Extremoduro,Me Estoy Quitando,67545,16675
Extremoduro,Luce la Oscuridad,79561,16590
Extremoduro,Extremaydura,89897,16379
Extremoduro,Tango suicida,130372,16306
Extremoduro,Quemando Tus Recuerdos,90019,16143
Extremoduro,"Ama, Ama, Ama y Ensancha el Alma",81037,15787
Extremoduro,Su Culo Es Miel,71607,14938
Extremoduro,Jesucristo Garcia,73454,14926
Extremoduro,Desarraigo,103740,14719
Extremoduro,Deltoya,84988,14712
Extremoduro,De Acero,75190,14602
Extremoduro,El Duende del Parque,67817,14259
Extremoduro,Cabezabajo,65673,14241
Extremoduro,Entre interiores,98180,13169
Extremoduro,Autorretrato,67956,13034
Extremoduro,Sol de invierno,64092,12948
Extremoduro,Todos Me Dicen,52827,12878
Extremoduro,No Me Calientes Que Me Hundo,57736,12801
Extremoduro,La Carrera,51054,12260
Extremoduro,"Ama, ama, ama y ensancha el alma - Versión 2004",90724,12095
Extremoduro,Esclarecido,44061,11472
Extremoduro,Necesito Droga y Amor,61484,11126
Extremoduro,La Hoguera,49375,10967
Extremoduro,Papel Secante,50244,10821
La Plazuela,Péiname Juana,60073,8193
La Plazuela,La Primerica Helá,39962,4560
La Plazuela,Realejo Beach,32001,4071
La Plazuela,Tangos De Copera,26438,4050
La Plazuela,El Lao De La Pena,35552,3785
La Plazuela,La Vuelta,15027,2046
La Plazuela,Mi Tarara,14272,2021
La Plazuela,Tu Palabra,13278,1812
La Plazuela,Soulseek,11592,1781
La Plazuela,Si Miro Patrás,9266,1599
La Plazuela,Alegrías De La Ragua,10090,1538
La Plazuela,La Ida - Intro,7262,1519
La Plazuela,Placeta de la Charca,7546,1500
La Plazuela,Tiempos Raros,7482,1484
La Plazuela,Mira La Niña,7933,1386
La Plazuela,Perico El De La Tomasa - por bulerías,5437,1316
La Plazuela,Campanas Del Olvido,6246,1315
La Plazuela,Mala De Verdad,5602,1295
La Plazuela,B12,6271,1291
